subject,regime,n_blocks,init_trials,n_stream,acc_adaptive,acc_frozen,acc_first,acc_last,recovery
sub-001,jump,13,60,432,0.5698918544519265,0.5048063425722469,0.6,0.5,0.06508551187967959
sub-002,jump,13,61,421,0.7059795554933127,0.5935726814191061,0.7666666666666667,0.8333333333333334,0.11240687407420658
sub-013,jump,13,60,429,0.6208131474260506,0.5651415340931469,0.7272727272727273,0.8125,0.05567161333290371
sub-016,jump,14,60,426,0.6186005047180163,0.5325536262892254,0.5666666666666667,0.5714285714285714,0.08604687842879088
sub-009,jump,13,60,433,0.49865728799379483,0.5083748506684747,0.5142857142857142,0.4,-0.009717562674679825
