Subject,Regime,Acc_S1,Acc_last,Acc_drop,KL_S1,KL_last,MMD_drift_max,Sig_drift_sess
S1,jump,0.718,0.5,0.218,0.506,0.031,1.0619,3
S2,jump,0.741,0.573,0.168,1.63,2.179,0.1037,3
S21,ambiguous,0.74,0.619,0.121,1.264,0.129,0.3292,3
S31,ambiguous,0.701,0.687,0.015,0.972,0.907,0.3679,3
S34,jump,0.851,0.487,0.365,1.686,0.205,0.2224,3
S39,ambiguous,0.554,0.513,0.041,1.337,0.289,0.2679,3
S5,ambiguous,0.623,0.5,0.123,0.36,0.124,0.4144,3
S9,jump,0.872,0.5,0.372,2.591,0.873,0.4501,3
