subject,regime,n_blocks,init_trials,n_stream,acc_adaptive,acc_frozen,acc_first,acc_last,recovery
S43,jump,50,60,1513,0.5694623655913977,0.5143655913978494,0.6451612903225806,0.5483870967741935,0.055096774193548304
S29,jump,80,60,2414,0.6042022454142948,0.5561377292852626,0.5,0.47058823529411764,0.048064516129032175
S19,jump,80,60,2421,0.5444163564929694,0.5655311078370554,0.8064516129032258,0.6538461538461539,-0.021114751344086025
S57,jump,50,60,1518,0.6136344086021505,0.5926881720430108,0.6,0.4666666666666667,0.02094623655913963
S39,jump,50,60,1514,0.5725554319614387,0.5720482017055988,0.6333333333333333,0.41379310344827586,0.0005072302558398745
