subject,regime,n_blocks,init_trials,n_stream,acc_adaptive,acc_frozen,acc_first,acc_last,recovery
S1,jump,9,60,258,0.5246913580246914,0.49259259259259264,0.5,0.7222222222222222,0.03209876543209872
S2,jump,9,60,275,0.6490516726403823,0.663508064516129,0.78125,0.4666666666666667,-0.014456391875746655
S5,ambiguous,8,60,254,0.5125,0.5333333333333333,0.5333333333333333,0.4,-0.02083333333333337
S9,jump,9,60,256,0.7643518518518518,0.7069444444444445,0.8666666666666667,0.8125,0.05740740740740735
S21,ambiguous,9,61,256,0.6939814814814815,0.5296296296296297,0.43333333333333335,0.8125,0.16435185185185186
S31,ambiguous,8,61,254,0.6,0.5125,0.5333333333333333,0.7333333333333333,0.08750000000000002
S34,jump,8,60,237,0.5944444444444444,0.6277777777777778,0.6333333333333333,0.5555555555555556,-0.033333333333333326
S39,ambiguous,8,60,236,0.7113440860215053,0.6349462365591398,0.7666666666666667,0.88,0.0763978494623655
