block,S1,S2,S5,S9,S21,S31,S34,S39
1,0.5,0.78125,0.5333333333333333,0.8666666666666667,0.43333333333333335,0.5333333333333333,0.6333333333333333,0.7666666666666667
2,0.5666666666666667,0.5806451612903226,0.26666666666666666,0.6666666666666666,0.6333333333333333,0.5333333333333333,0.7,0.5666666666666667
3,0.43333333333333335,0.8333333333333334,0.43333333333333335,0.7333333333333333,0.5666666666666667,0.4666666666666667,0.5333333333333333,0.7666666666666667
4,0.6333333333333333,0.7333333333333333,0.6333333333333333,0.6333333333333333,0.6,0.6333333333333333,0.5666666666666667,0.6666666666666666
5,0.36666666666666664,0.6129032258064516,0.7,0.8,0.7333333333333333,0.6333333333333333,0.6,0.6774193548387096
6,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.9333333333333333,0.8666666666666667,0.7,0.6,0.7
7,0.5,0.6666666666666666,0.6,0.6666666666666666,0.7333333333333333,0.5666666666666667,0.5666666666666667,0.6666666666666666
8,0.4666666666666667,0.6,0.4,0.7666666666666667,0.8666666666666667,0.7333333333333333,0.5555555555555556,0.88
9,0.7222222222222222,0.4666666666666667,,0.8125,0.8125,,,
